MEASLES,206.98,COLORADO,2099,1014000,1928
MEASLES,634.95,CONNECTICUT,10014,1577000,1928
MEASLES,256.02,DELAWARE,597,233000,1928
MEASLES,535.63,DISTRICT OF COLUMBIA,2566,479000,1928
MEASLES,119.58,FLORIDA,1714,1433000,1928
POLIO,7.04,COLORADO,71,1014000,1928
POLIO,4.53,CONNECTICUT,72,1577000,1928
POLIO,3.44,DELAWARE,8,233000,1928
POLIO,6.92,DISTRICT OF COLUMBIA,33,479000,1928
POLIO,1.47,FLORIDA,21,1433000,1928
SMALLPOX,33.58,COLORADO,340,1014000,1928
SMALLPOX,10.19,CONNECTICUT,161,1577000,1928
SMALLPOX,0.86,DELAWARE,2,233000,1928
SMALLPOX,2.1,DISTRICT OF COLUMBIA,10,479000,1928
SMALLPOX,10.99,FLORIDA,157,1433000,1928
MEASLES,74.24,COLORADO,748,1008000,1929
MEASLES,614.82,CONNECTICUT,9800,1594000,1929
MEASLES,239.82,DELAWARE,566,236000,1929
MEASLES,94.2,DISTRICT OF COLUMBIA,455,483000,1929
MEASLES,78.01,FLORIDA,1127,1445000,1929
POLIO,1.3,COLORADO,13,1008000,1929
POLIO,1.32,CONNECTICUT,21,1594000,1929
POLIO,2.1,DELAWARE,5,236000,1929
POLIO,1.26,DISTRICT OF COLUMBIA,6,483000,1929
POLIO,2.38,FLORIDA,34,1445000,1929
SMALLPOX,83.77,COLORADO,844,1008000,1929
SMALLPOX,2.69,CONNECTICUT,43,1594000,1929
SMALLPOX,0.84,DELAWARE,2,236000,1929
SMALLPOX,0,DISTRICT OF COLUMBIA,0,483000,1929
SMALLPOX,2.52,FLORIDA,36,1445000,1929
MEASLES,1132.76,COLORADO,11781,1040000,1930
MEASLES,112.23,CONNECTICUT,1810,1613000,1930
MEASLES,109.25,DELAWARE,261,239000,1930
MEASLES,182.1,DISTRICT OF COLUMBIA,889,488000,1930
MEASLES,356.59,FLORIDA,5245,1471000,1930
POLIO,6.25,COLORADO,65,1040000,1930
POLIO,4.57,CONNECTICUT,74,1613000,1930
POLIO,2.52,DELAWARE,6,239000,1930
POLIO,1.8,DISTRICT OF COLUMBIA,9,488000,1930
POLIO,0.84,FLORIDA,12,1471000,1930
SMALLPOX,54.03,COLORADO,562,1040000,1930
SMALLPOX,0,CONNECTICUT,0,1613000,1930
SMALLPOX,0,DELAWARE,0,239000,1930
SMALLPOX,0,DISTRICT OF COLUMBIA,0,488000,1930
SMALLPOX,1.94,FLORIDA,28,1471000,1930
